nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
       236 -1.786357658E-01 -7.553931997E-02  1.094549191E-01 -7.006894381E+01 
       237 -1.702197974E-01 -5.785058819E-02  1.095235343E-01 -1.159220507E+02 
       238 -1.943070788E-01 -2.302816188E-02  1.095325539E-01 -5.294994707E+01 
       239 -1.670913421E-01 -3.645507562E-02  1.095503170E-01 -2.051759606E+02 
       240 -1.909543808E-01 -1.928573006E-02  1.096292869E-01 -5.732037802E+01 
       241 -1.855653081E-01 -1.747530370E-02  1.097822815E-01 -5.489847449E+01 
       242 -2.115759781E-01 -2.715957129E-02  1.098741185E-01 -6.071273366E+01 
       243 -1.680353790E-01 -3.636155279E-02  1.098913236E-01 -8.246555938E+01 
       244 -1.975067263E-01 -2.710191876E-02  1.099251511E-01 -4.945552487E+01 
       245 -1.804689305E-01 -2.614471552E-02  1.099798342E-01 -6.541738351E+01 
       246 -1.797465046E-01 -3.089142401E-02  1.100475239E-01 -8.884028134E+01 
       247 -2.109807635E-01 -2.735214149E-02  1.100894261E-01 -3.238354870E+01 
       248 -1.815198127E-01 -2.145295088E-02  1.101103156E-01 -5.494915015E+01 
       249 -2.184380186E-01 -5.276855557E-02  1.102442027E-01 -5.990357613E+01 
       250 -2.141353952E-01 -3.505796929E-02  1.102649007E-01 -5.898110684E+01 
       251 -1.875251666E-01 -1.571059687E-02  1.102710543E-01 -6.148858434E+01 
       252 -1.937094529E-01 -2.043031791E-02  1.103442139E-01 -5.945419862E+01 
       253 -1.903251151E-01 -1.664840792E-02  1.104468417E-01 -6.437400296E+01 
       254 -2.178867256E-01 -5.003167169E-02  1.104658687E-01 -5.848733549E+01 
       255 -1.827596726E-01 -1.674735813E-02  1.106086256E-01 -5.808562542E+01 
       256 -1.791535106E-01 -3.426950116E-02  1.107168693E-01 -1.041581148E+02 
       257 -1.799391921E-01 -2.357973561E-02  1.107989120E-01 -6.960268130E+01 
       258 -1.969380834E-01 -2.444788112E-02  1.108131280E-01 -5.418554256E+01 
       259 -1.792094239E-01 -2.829105548E-02  1.109139976E-01 -9.692377221E+01 
       260 -1.809191126E-01 -1.881170012E-02  1.109697572E-01 -6.039843285E+01 
       261 -1.857193840E-01 -7.453259654E-02  1.110314232E-01 -6.203077867E+01 
       262 -2.170695246E-01 -6.792957433E-02  1.110918157E-01 -5.810885819E+01 
       263 -1.869398141E-01 -1.301759258E-02  1.111159655E-01 -6.819363373E+01 
       264 -1.788185122E-01 -3.296512898E-02  1.111250831E-01 -1.260652623E+02 
       265 -2.204433499E-01 -6.234621975E-02  1.111995460E-01 -6.806874445E+01 
       266 -1.905914198E-01 -7.356524692E-02  1.112302122E-01 -6.047897334E+01 
       267 -2.133316517E-01 -3.133006318E-02  1.112860842E-01 -7.629423704E+01 
       268 -1.678308581E-01 -4.534424668E-02  1.112873385E-01 -1.971661895E+02 
       269 -1.822262946E-01 -1.414456548E-02  1.114178715E-01 -6.373637295E+01 
       270 -1.842377616E-01 -1.219660242E-02  1.114566662E-01 -6.730700435E+01 
       271 -2.001006405E-01 -3.008077485E-02  1.114760861E-01 -5.004431117E+01 
       272 -1.741015522E-01 -3.559968316E-02  1.115642916E-01 -8.592538181E+01 
       273 -2.122346915E-01 -6.910527601E-02  1.115893923E-01 -5.879041197E+01 
       274 -1.718202616E-01 -6.524945862E-02  1.116167797E-01 -8.014208478E+01 
       275 -1.692501796E-01 -5.355650659E-02  1.117045611E-01 -1.358522881E+02 
       276 -2.159051050E-01 -4.089519211E-02  1.117621076E-01 -5.673054284E+01 
       277 -1.921116590E-01 -1.510425688E-02  1.117760753E-01 -7.682294878E+01 
       278 -1.998426529E-01 -2.874021915E-02  1.118360513E-01 -5.255968578E+01 
       279 -2.055436051E-01 -2.904512717E-02  1.118433157E-01 -4.300242715E+01 
