nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
       100 -1.697720516E-01 -2.102055548E-02  1.273520751E-01 -9.840304879E+01 
       101 -1.747245640E-01 -2.086447378E-02  1.273894448E-01 -9.884396706E+01 
       102 -1.738171256E-01 -2.230197713E-02  1.274343251E-01 -1.079173919E+02 
       103 -1.359050878E-01 -7.184701771E-02  1.274708511E-01 -6.456710529E+01 
       104 -1.684072806E-01 -3.033102486E-02  1.275443725E-01 -1.177292053E+02 
       105 -1.652144504E-01 -3.535622047E-02  1.276929713E-01 -1.099014745E+02 
       106 -1.674429064E-01 -2.208722052E-02  1.277287127E-01 -9.904868376E+01 
       107 -1.295597885E-01 -5.724768492E-02  1.278777019E-01 -6.947390209E+01 
       108 -1.590624092E-01 -4.476089138E-02  1.278981455E-01 -8.730556886E+01 
       109 -1.529747640E-01 -5.358233119E-02  1.279596655E-01 -6.708892751E+01 
       110 -1.287267905E-01 -5.893720234E-02  1.280269399E-01 -7.062426614E+01 
       111 -1.640111863E-01 -3.821169973E-02  1.280296676E-01 -1.011272384E+02 
       112 -1.493200272E-01 -3.445749876E-02  1.280511090E-01 -7.023185544E+01 
       113 -1.361332051E-01 -4.865669833E-02  1.281314825E-01 -6.336798954E+01 
       114 -1.722058966E-01 -2.730457998E-02  1.282292833E-01 -1.120211158E+02 
       115 -1.476285203E-01 -6.211139129E-02  1.282419395E-01 -7.220035942E+01 
       116 -1.737895198E-01 -1.883174830E-02  1.282689799E-01 -1.014180216E+02 
       117 -1.330061418E-01 -6.964156945E-02  1.282964682E-01 -6.551042749E+01 
       118 -1.675447183E-01 -3.426842657E-02  1.283375218E-01 -1.108074391E+02 
       119 -1.576807317E-01 -4.829463965E-02  1.283591530E-01 -7.882145742E+01 
       120 -1.783954728E-01 -1.902314726E-02  1.283675937E-01 -8.635792329E+01 
       121 -1.416297553E-01 -7.136965297E-02  1.284676566E-01 -8.660789764E+01 
       122 -1.434977639E-01 -6.882575878E-02  1.284963507E-01 -8.027431150E+01 
       123 -1.395347111E-01 -4.397437524E-02  1.285211104E-01 -6.284218432E+01 
       124 -1.500030557E-01 -5.971104826E-02  1.285216565E-01 -6.748205118E+01 
       125 -1.430128411E-01 -3.956313046E-02  1.285489183E-01 -6.387776551E+01 
       126 -1.707314522E-01 -1.960328417E-02  1.285505458E-01 -1.033839572E+02 
       127 -1.717870229E-01 -2.913813816E-02  1.285915324E-01 -1.125458240E+02 
       128 -1.748093979E-01 -2.536927602E-02  1.287392861E-01 -1.028117686E+02 
       129 -1.782143687E-01 -2.083445389E-02  1.288214057E-01 -8.625837888E+01 
       130 -1.275336442E-01 -6.422408334E-02  1.289184923E-01 -7.105837770E+01 
       131 -1.536322766E-01 -3.083115860E-02  1.289753804E-01 -7.706436651E+01 
       132 -1.468354213E-01 -3.565174167E-02  1.290065153E-01 -6.677415400E+01 
       133 -1.548017809E-01 -5.469992394E-02  1.290401621E-01 -6.578633074E+01 
       134 -1.273795717E-01 -6.534247514E-02  1.291624660E-01 -7.139072019E+01 
       135 -1.589773533E-01 -4.978540232E-02  1.293295939E-01 -7.906866320E+01 
       136 -1.408256769E-01 -7.567410099E-02  1.293920819E-01 -7.964553288E+01 
       137 -1.420628111E-01 -7.406951038E-02  1.294344851E-01 -8.842463759E+01 
       138 -1.790312272E-01 -2.183959834E-02  1.294520198E-01 -8.781238435E+01 
       139 -1.654798169E-01 -4.115699665E-02  1.294956815E-01 -9.877671658E+01 
       140 -1.520237893E-01 -6.024877688E-02  1.295128777E-01 -6.660675561E+01 
       141 -1.750762119E-01 -1.731481002E-02  1.296603277E-01 -1.032557648E+02 
       142 -1.769209283E-01 -2.572449316E-02  1.297147100E-01 -9.789555586E+01 
       143 -1.637477886E-01 -4.444287457E-02  1.297396981E-01 -9.385106606E+01 
       144 -1.582003108E-01 -2.706887086E-02  1.298378824E-01 -8.552793198E+01 
       145 -1.318152421E-01 -5.273193330E-02  1.298807144E-01 -6.746185578E+01 
       146 -1.469662577E-01 -6.872330203E-02  1.298984233E-01 -8.032559077E+01 
       147 -1.489129576E-01 -6.607369380E-02  1.299287514E-01 -7.665319919E+01 
       148 -1.777292410E-01 -1.722542649E-02  1.299827507E-01 -9.461864709E+01 
       149 -1.286318455E-01 -6.632485106E-02  1.299850686E-01 -7.052314508E+01 
       150 -1.509570826E-01 -3.199142321E-02  1.300082954E-01 -7.159020566E+01 
       151 -1.708867651E-01 -3.560122076E-02  1.301063196E-01 -1.024161823E+02 
       152 -1.823619285E-01 -1.969990195E-02  1.302025599E-01 -8.518990727E+01 
       153 -1.738890270E-01 -3.174171389E-02  1.302192928E-01 -1.037699984E+02 
       154 -1.626046225E-01 -2.357031538E-02  1.304284412E-01 -9.418537622E+01 
       155 -1.815331196E-01 -2.172923352E-02  1.304527079E-01 -8.625551911E+01 
       156 -1.644037904E-01 -4.597673668E-02  1.304582373E-01 -9.511639283E+01 
       157 -1.272880381E-01 -5.978551210E-02  1.305295367E-01 -7.168923371E+01 
       158 -1.295916090E-01 -5.501074078E-02  1.305613948E-01 -6.936737169E+01 
       159 -1.506931192E-01 -6.603733397E-02  1.306530854E-01 -7.673643411E+01 
       160 -1.786286903E-01 -1.666979660E-02  1.306870578E-01 -9.265385713E+01 
       161 -1.375104455E-01 -7.316435193E-02  1.308290428E-01 -6.399051432E+01 
       162 -1.781688703E-01 -2.786357882E-02  1.308542788E-01 -9.706984878E+01 
       163 -1.402223204E-01 -7.524777116E-02  1.308628804E-01 -6.642275513E+01 
       164 -1.346236569E-01 -4.833729539E-02  1.308741479E-01 -6.574490238E+01 
       165 -1.653714345E-01 -2.132714245E-02  1.308833757E-01 -9.783426962E+01 
       166 -1.267630708E-01 -6.199741767E-02  1.309620227E-01 -7.161988693E+01 
       167 -1.759483249E-01 -3.162912510E-02  1.310366195E-01 -9.777258411E+01 
       168 -1.420263940E-01 -3.877997180E-02  1.310641912E-01 -6.367074662E+01 
       169 -1.554724038E-01 -2.812520176E-02  1.310917101E-01 -7.875382052E+01 
       170 -1.454439244E-01 -7.515869401E-02  1.311483012E-01 -8.525942628E+01 
       171 -1.824209622E-01 -1.811746984E-02  1.312322723E-01 -8.788379858E+01 
       172 -1.383205337E-01 -4.312562608E-02  1.314498756E-01 -6.441648461E+01 
       173 -1.703813701E-01 -4.102854291E-02  1.314818078E-01 -9.917188740E+01 
       174 -1.735746024E-01 -1.599314632E-02  1.315183645E-01 -1.112154533E+02 
       175 -1.693525340E-01 -1.821995372E-02  1.315456323E-01 -1.061821611E+02 
