config,pitchAngle,yawAngle,ironcub-cd,ironcub-cl,ironcub-cs,head-cd,head-cl,head-cs,torso-cd,torso-cl,torso-cs,left-back-turbine-cd,left-back-turbine-cl,left-back-turbine-cs,right-back-turbine-cd,right-back-turbine-cl,right-back-turbine-cs,left-arm-cd,left-arm-cl,left-arm-cs,left-arm-turbine-cd,left-arm-turbine-cl,left-arm-turbine-cs,right-arm-cd,right-arm-cl,right-arm-cs,right-arm-turbine-cd,right-arm-turbine-cl,right-arm-turbine-cs,root-link-cd,root-link-cl,root-link-cs,left-leg-upper-cd,left-leg-upper-cl,left-leg-upper-cs,left-leg-lower-cd,left-leg-lower-cl,left-leg-lower-cs,right-leg-upper-cd,right-leg-upper-cl,right-leg-upper-cs,right-leg-lower-cd,right-leg-lower-cl,right-leg-lower-cs
Config1,60,-40,0.218859,0.072802758,0.021546447,0.017457109,0.0069780067,0.01524133,0.035389499,0.016384532,-0.0041377438,0.01874021,0.017793619,-0.017364369,0.0098744296,0.0056799338,0.0046331019,0.010545967,0.00045850599,-0.00036627389,0.010877833,0.00133243,0.0012280138,0.0086194482,0.004448814,0.0021329075,0.016589692,7.001947E-05,0.0079238934,0.024274973,0.011345678,-0.0050176707,0.022637258,0.0042271685,0.004088588,0.026554618,0.00078315401,0.011600708,0.0078819456,0.0037106949,-0.0030488697,0.0094160148,-0.00040979791,0.0046328319
Config1,70,-40,0.23857537,0.067647432,0.014478776,0.02042149,0.010937255,0.014923933,0.037485997,0.01849337,-0.0027053949,0.021458198,0.018080158,-0.022003608,0.0063086327,0.0045570789,0.0010514009,0.010679983,-0.0013968748,0.0002957991,0.010589554,0.00088771465,-0.0013967893,0.009659804,0.004424587,0.0042705219,0.018707393,-0.00063742883,0.0082125055,0.029094489,0.010827965,-0.0085960081,0.026302213,0.0022044623,0.0045943258,0.026659872,-0.0020198237,0.010902814,0.0086404368,0.0020449436,-0.0030586718,0.012567309,-0.00075597512,0.0079879483
Config1,80,-40,0.25051423,0.049476743,-0.0045476835,0.021745643,0.014161146,0.013503161,0.041074772,0.018625731,-0.0056050875,0.022603968,0.014656921,-0.021090893,0.0046171302,0.0028153698,0.00061949991,0.01063481,-0.002492047,-0.0004643428,0.0090117328,-0.00035692641,0.0004132274,0.0092896666,0.0042688017,0.0005008491,0.01831809,-0.0032673421,0.0081714176,0.030950612,0.0050849571,-0.012129458,0.025593681,0.0037989694,-0.0018866059,0.029097989,-0.00854149,0.0078858877,0.012699562,0.0011380834,-0.0035978901,0.014876571,-0.00041543057,0.0091325516
Config1,90,-40,0.25467942,0.026234944,0.0035425029,0.022572465,0.015143401,0.010080477,0.040236941,0.017312037,-0.0042290826,0.021224845,0.0086224007,-0.020214363,0.0032200021,0.0019151308,0.001789607,0.0097708261,-0.0033497185,-0.00088236753000000005,0.0076253397,-0.0010545927,-0.00032177851,0.0087675701,0.0041707233,0.00011995711,0.016762397,-0.0054444942,0.0086249444,0.031701668,-0.00036847867,-0.0086768262,0.024600096,0.0014381485,-0.0010888117,0.030459709,-0.01054771,0.0098928699,0.018529432,-0.0022943494,-0.0034451297,0.019208125,0.00069244628,0.011893007
Config1,100,-40,0.24871807,0.0090450569,-0.0034798755,0.022532347,0.014722525,0.0066098744,0.039077556,0.016787317,-0.0054427926,0.021331653,0.003596867,-0.021414472,0.0020170169,0.001577919,0.00019065299,0.008340275,-0.0040728838,-0.0012202524,0.0058231422,-0.00042270433,0.00080789027,0.0096521397,0.0019058201,-0.00080626197,0.016974343,-0.004407566,0.009941866,0.030494159,-0.0042292627,-0.012524625,0.023684183,0.00023040138,-0.0020044375,0.031320968,-0.011491628,0.010458194,0.017209578,-0.0035938714,0.0019807989,0.020260709,-0.0015578762,0.0099436894
Config1,110,-40,0.24120133,-0.020868536,0.011532679,0.018263567,0.013393181,0.0054495528,0.037446543,0.010210728,-0.00098584838,0.019327101,0.00051345525,-0.018283757,0.0012612167,-0.0017813374,0.0015476268,0.0061251078,-0.0038721136,-0.0013123911,0.0052887675,-0.0013538321,-0.00056176201,0.0093306326,0.00088397732,-0.00029281626,0.017698884,-0.0043704342,0.010875341,0.0312047,-0.0092225304,-0.0077756406,0.023321145,-0.003183866,-0.0024708763,0.030804914,-0.011386079,0.011406376,0.016562963,-0.0029202903,0.0041222449,0.02456579,-0.0077793946,0.0098146302
Config1,120,-40,0.23497866,-0.043913377,0.021136641,0.014927093,0.012825662,0.0043206672,0.036052703,0.0024704021,-0.0016333304,0.0195813,-0.0037799264,-0.018124684,0.0035708097,-0.002644527,0.0038380876,0.0049244008,-0.0038501229,-0.00069006122,0.0045752444,-0.00056836267,0.0007685647,0.0090845737,-0.00036164416,2.4550423E-05,0.016525276,-0.0047121998,0.011477366,0.031054802,-0.014519407,-0.0071875653,0.022094846,-0.0055991723,-0.00091005146,0.029994077,-0.0098628927,0.01200225,0.01635534,-0.0049208781,0.0046558672,0.026238196,-0.0083903089,0.01259498
Config1,130,-40,0.22121316,-0.046423763,0.02787893,0.01349994,0.010791988,0.0017374698,0.035585813,0.0048595715,-0.00074625158,0.019824601,-0.005783456,-0.016579408,0.0038691333,-0.0019057471,0.0024492691,0.0037460916,-0.0039221916,-0.0013489319,0.0050336575,-0.00075961819,0.00082663515,0.0076845034,-0.0018029362,-0.00093167706,0.015485299,-0.0039762076,0.011613889,0.027335665,-0.015995709,-0.005436468,0.018729783,-0.0078600269,0.00017595545,0.028548764,-0.0081404833,0.013444173,0.015022211,-0.0043772894,0.0077365893,0.026847701,-0.0075516566,0.014937685
Config1,140,-40,0.20489528,-0.046510187,0.041594668,0.011192759,0.0084903675,0.0010289419,0.033138345,0.0023428091,0.0019722258,0.01785062,-0.0085871117,-0.014276561,0.0034200491,-0.0012887162,0.0030384174,0.0016723355,-0.0019355561,0.00013017894,0.0063117887,-0.00014894112,0.0019814384,0.0080245169,-0.0031912881,-0.00099169371,0.014975177,-0.0027946246,0.011809599,0.025675076,-0.015551782,-0.0038550632,0.014438648,-0.0088209358,0.0016015333,0.027639124,-0.0061537428,0.014919841,0.013084461,-0.0033978763,0.0087052139,0.027472384,-0.0054727886,0.015530597
Config1,150,-40,0.18634792,-0.049161698,0.041496514,0.009858804,0.0023291891,-0.0049484803,0.028833959,-0.0032479149,0.0038189365,0.01639336,-0.010464657,-0.012830991,0.0019238735,0.00011103132,0.0022650099,0.0013854329,-0.00077819673,0.00095370998000000005,0.007797148,0.0009329787,0.0030411381,0.006647935,-0.0038148337,-0.0013775925,0.015117898,-0.0010632364,0.011523326,0.023570085,-0.016367884,-0.0039257861,0.010703769,-0.0080311642,0.0037623842,0.026064561,-0.0036056837,0.014836123,0.010862945,-0.0025328481,0.0081770119,0.027188149,-0.0026284782,0.016201723
