"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cs-scale" "cmx-scale" "cmy-scale" "cmz-scale")
330 -1.840480143337367e+48 3.090424611884872e+48 -4.594651142969219e+48 4.221229723578403e+48 7.856012230379866e+47 1.120002182888843e+48
340 -4.73539355134425e+48 -6.813713321961887e+48 -1.015333553797272e+49 1.981716191061009e+48 1.703510020724465e+48 3.763531176485525e+48
350 -3.711403851185414e+48 -3.637079065158289e+48 -3.340987654828738e+48 -6.753221728766638e+47 2.746727179232945e+47 5.591835476561364e+47
360 -1.13566737287653e+48 -1.386457615261525e+48 -1.430484405229201e+48 -3.924504258102654e+47 6.014820177039413e+46 -2.416404503572269e+47
370 -8.239500897638078e+47 -2.693061666021731e+47 2.895375507409941e+47 1.176658627542183e+47 -4.250052970328604e+46 7.398826157332558e+46
380 -7.220962264804585e+47 -1.060759956807271e+47 7.296558777917331e+47 -4.342228028028969e+46 -4.586818191716974e+46 1.006410700712335e+47
390 -4.717776129222491e+47 -4.680536763741201e+46 2.727792037881695e+47 -5.441858217249651e+46 -1.900063356001074e+46 -3.990382490307373e+45
400 -6.153464725727339e+45 -5.080829651863675e+46 1.332141991330614e+47 1.296872756230051e+45 -9.237053121278258e+45 3.321305127465747e+46
410 1.064710618644938e+47 3.857218980193801e+45 1.736623904343119e+46 3.098118718053103e+45 -9.413640781183883e+45 1.542236733661693e+46
420 4.02027211121421e+46 1.417025324263866e+46 -3.460208397189624e+46 -2.032793091385909e+45 -4.583637159894267e+45 1.624165916935127e+46
430 7.707294375348966e+45 -2.729009822511721e+45 1.20010413446239e+46 6.730286481828277e+44 -2.066322062976071e+45 6.63328980219489e+45
440 7.096019112821029e+45 -1.459681728060397e+46 5.247653466301618e+45 -1.588692253270899e+45 -3.307431073216478e+44 1.191895913370503e+45
