config,pitchAngle,yawAngle,ironcub-cd,ironcub-cl,ironcub-cs,head-cd,head-cl,head-cs,torso-cd,torso-cl,torso-cs,left-back-turbine-cd,left-back-turbine-cl,left-back-turbine-cs,right-back-turbine-cd,right-back-turbine-cl,right-back-turbine-cs,left-arm-cd,left-arm-cl,left-arm-cs,left-turbine-cd,left-turbine-cl,left-turbine-cs,right-arm-cd,right-arm-cl,right-arm-cs,right-turbine-cd,right-turbine-cl,right-turbine-cs,root-link-cd,root-link-cl,root-link-cs,left-leg-upper-cd,left-leg-upper-cl,left-leg-upper-cs,left-leg-lower-cd,left-leg-lower-cl,left-leg-lower-cs,right-leg-upper-cd,right-leg-upper-cl,right-leg-upper-cs,right-leg-lower-cd,right-leg-lower-cl,right-leg-lower-cs
flight60,70.0,20.0,0.2378141628012315,0.04410254556388,-0.009323959723901135,0.0183495304743186,0.01322967481813342,-0.006587539622847786,0.04283475274821981,0.02051191826844586,-0.005187213898871203,0.01154573938627719,0.004766555261761366,-0.007540118238358093,0.0191627079033113,0.008263257884908719,0.01833377021504052,0.01231981604711961,0.001697399207078215,-0.003882839963888613,0.01268931321916447,-0.004348988472739348,-0.007669666167337611,0.007447530991141851,-0.002103149708093987,0.003881797013209554,0.007406228030962619,-0.003198568419246764,-0.0006823717482042637,0.02517479947555687,0.004756554814066496,0.005615992526741847,0.01519958479600917,0.004263060493665838,-0.001851578445950468,0.01893986174376635,-0.00512277670106093,-0.00959534125723712,0.02298075466676588,0.006452287513945769,0.007381095525823617,0.02376354331861774,-0.005064679396984661,-0.001539945662021508
flight60,80.0,20.0,0.2388525237591964,0.0253230287880337,-0.01322403148173911,0.02073102071873722,0.01194912232286406,-0.003501220251455345,0.04082167473367834,0.02243882738981055,-0.007268670526309464,0.009035729097762792,0.003421487147278642,-0.007656742904600189,0.01953419740776428,0.0048405318287847,0.01670645591454436,0.01062633953975159,-0.001088162165823326,-0.001150099616861282,0.01256829187287905,-0.003536223150828688,-0.008872542973087776,0.006266527341423796,-0.002190390430034436,0.003214588105746306,0.005843420610679109,-0.001948664354962147,-0.0005106114880758151,0.02594118603812469,-0.0003764773343218127,0.005127008525963733,0.01826578962614303,0.001848488286347746,-0.000301300192288557,0.02089471588936868,-0.006618822698172397,-0.01093104021610554,0.02369652700644695,0.002725721536856497,0.00441516728301341,0.02462710387643677,-0.006142409589765692,-0.002495023142222951
flight60,90.0,20.0,0.2269671420132962,-0.004435003152463381,-0.01723141277201561,0.01625135656897211,0.01104692555477539,-0.0002388611158322975,0.03625651688578686,0.01195562662518245,-0.004560755630873123,0.007291408195269119,-0.0008662765440758497,-0.007257332806393698,0.01892473238064917,0.002112327004949129,0.01614807146383784,0.01017355441068734,-0.003819053029191492,-0.000329675884919798,0.01238835291736876,-0.003414325382073384,-0.009639537159935672,0.004643010389897687,-0.002222056217916272,0.00344545448041691,0.004766698147874445,-0.0008726032573730122,0.0005535334939431112,0.02906656026358938,-0.006267680517210723,0.001165197275621539,0.01775645656279401,0.00123927987288684,-0.00505921162020668,0.02218578748383759,-0.006237672899986367,-0.01387109503060011,0.02306619839138449,-5.389907532593684e-05,0.005095104040688516,0.02419650941518525,-0.007035595287104149,-0.002682304277762158
flight60,100.0,20.0,0.2178272371819436,-0.01017750284597576,-0.007068673162244731,0.01546239156088436,0.009683763739866515,0.005286951848433896,0.03616211687492676,0.00898441206914671,0.0004310151836222209,0.008064177672641323,-0.003730552434613697,-0.004237226834972388,0.01601026537539874,0.0007896150875899707,0.01270112786795455,0.008251111750922979,-0.002283769465898703,-0.003124458249312291,0.01195928823578062,-0.001350516479399234,-0.00968892421488521,0.002119526818536128,-0.0004244263164901646,0.005448070319930861,0.004217030416454183,-0.0002136494157718026,0.0008069974380522113,0.0287226524601615,-0.006953668726082372,0.003299876890029317,0.01725260245438359,0.0004853064111060864,-0.006622316711839633,0.02347481873363328,-0.004801070435854459,-0.0146756725620786,0.02113479441954753,-0.00274686380236897,0.004607559906431136,0.02499646040867255,-0.007616083077205636,-0.0013016740436108
flight60,110.0,20.0,0.2017923507370008,-0.03168508145540104,-0.01627343887605194,0.009578777827618182,0.009607678062306361,0.00231677148636757,0.03378543441376202,-0.002325878605294161,-0.0004579880720548389,0.007561732798760166,-0.004136620649049748,-0.006142445342251991,0.01211719372710734,-0.002671407057976922,0.00966309266485982,0.007880301234590693,-0.003114810323980961,-0.003232914967471635,0.01164958041410047,-0.002322603020335576,-0.006457423541465679,0.002708364986750741,-0.0002058392542262705,0.003377593095857712,0.004350054612410592,0.0006019747398366423,0.0003696374906985832,0.02784229441514638,-0.008222231251177062,0.005969709613915007,0.0154628014911874,-0.001761547704671233,-0.006928178819186258,0.0258918012123011,-0.00297053900159896,-0.01767686496838851,0.01804575269228322,-0.005021371252349762,0.004624374778855451,0.02491826091098251,-0.009141886136883381,-0.001698802295787172
flight60,120.0,20.0,0.1927298531310945,-0.02836308006296399,-0.01506221405841916,0.00873304824406066,0.009627516644722469,0.001560001653054679,0.03085377372946424,-0.0008779526497580622,0.0004617576032107429,0.006754964784323024,-0.00332761943297433,-0.004650309619429412,0.01475257223723794,-0.00332963327861256,0.0112464629315811,0.006940659723017599,-0.002085246404676927,-0.004492320608803397,0.01179673097694268,0.001047344135150404,-0.005046587017678443,0.00272053520300266,0.001156818715972394,0.002312021656272273,0.006359880478866921,0.0004574071442830619,-0.00111062234441319,0.02551717394379036,-0.01130516012178868,0.007313674501002047,0.01366387169864652,-0.002910121992188352,-0.007661560314457538,0.02694286958611264,-0.0008593741088744,-0.01942408123137968,0.01415346469430014,-0.006767939706324803,0.004712084086252029,0.02354030783132913,-0.009189119007894198,-0.0002827353536303762
flight60,130.0,20.0,0.1748840415887721,-0.03511083197866546,-0.02286458698035428,0.006309731985462597,0.00416680932663582,0.001356229611065204,0.02571238423580272,-0.001701947307955223,-0.0007326385202613859,0.007733822415909572,-0.003890233326090297,-0.00562289567842577,0.01383943872754561,-0.008771076022131523,0.01091935133349477,0.00516274012831528,0.001769578634898247,-0.006426729730239315,0.01200223194679951,0.001371434481530038,-0.003759485497905679,0.002528152098782697,0.002257988193663575,0.002523105107336502,0.00698670896811511,0.002162878810798759,-0.0006568414492734147,0.02355979278542413,-0.01384785459805604,0.006724488827756963,0.01103543357946318,-0.002715047728315576,-0.009171763575636677,0.02817320725984711,0.0008210314452685165,-0.01881017297465951,0.009445745887460543,-0.007342617198000892,0.004345726532327858,0.02239465156984402,-0.009391776690910868,-0.003552960965933828
flight60,140.0,20.0,0.1623385463342467,-0.01821777764499193,-0.0319340641954774,0.008861709464620907,0.007346030404983352,-0.002461279461412476,0.02366948985187724,0.002498238791064375,-0.003887314111576692,0.005640991217645475,-0.003187760283756877,-0.006080785528626535,0.01159061692352792,-0.008637919806490922,0.008940177011225283,0.005465628341934857,0.001626751293841404,-0.005612303420893995,0.01200335973876595,0.002598217713842283,-0.002700429647358675,0.002378510300398995,0.004067823222126161,0.00437446195709689,0.009951437417413847,0.002490312868664744,-0.002016524173123647,0.02018886235643603,-0.01377453473678886,0.004662419869030441,0.008637939196544993,-0.001638161458923291,-0.01017876146752101,0.0274572781944168,0.00262158938795149,-0.01617781814233561,0.005192803881056121,-0.00676994617238619,0.003512916639246486,0.02129991944960753,-0.007458418869119596,-0.004308823719227855
flight60,150.0,20.0,0.1467192864002478,-0.0001608240053525204,-0.02120922324280605,0.007437436154247968,0.007467902767722682,0.001834584777290234,0.02262722637509365,0.006578344752657577,-0.001166072702468557,0.004325307740171239,0.0007891495637275306,-0.005576525716756635,0.01062923675853535,-0.006137942098894452,0.00827429793521425,0.006378329887025435,0.00149780086074311,-0.00582905294990289,0.01224605974035658,0.00159071237548047,-0.004773022920043678,0.003543129710052157,0.004946134687800964,0.004973026016951556,0.01133198278180017,0.004813341200959206,0.001454958361114543,0.01414811758707976,-0.01273838701645178,0.0005012932691315573,0.006265465286053656,-0.002742011812550709,-0.00695663917875974,0.0265541845253835,0.004074186985823527,-0.01211028318940302,0.002071404083603192,-0.005135430032731809,0.0007733420418211865,0.01916140577084519,-0.005164626239638832,-0.00260912898699485
flight60,160.0,20.0,0.1335455404744252,0.01316072292703268,-0.01201956271125939,0.004599205573330448,0.006088374080580155,0.001966266708484477,0.02379806235053345,0.00808177578588091,-8.958511688709744e-05,0.003462210434609526,0.00145927104661413,-0.003057215462404993,0.010118238974336,-0.005491985228789599,0.007780578128811101,0.006502697475618635,0.001030277507863004,-0.003784052407805307,0.01255584079107302,0.001373854577560058,-0.006207231347677015,0.005389888459428696,0.005220777800596783,0.005453914472041948,0.01364085998635113,0.006805041303381252,0.002249547498680335,0.0104897220028779,-0.01118524012536893,-0.001512689550149889,0.003761516659591939,-0.0007731904685700394,-0.005991360172494257,0.02336972606810963,0.006165245546267971,-0.006379048054241358,-0.0002827731607973483,-0.003165436260045477,0.000211314149485344,0.01614034485936216,-0.00244804263893754,-0.00266000155710268
